it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.0,0.0,0.08695652173913043,0.09090909090909091,0.14285714285714285,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.18181818181818182,0.16666666666666666,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08695652173913043,0.0,0.0,0.0,0.0,0.05128205128205128,0.2,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.06818181818181818,0.14285714285714285,0.0,0.047619047619047616,0.02,0.0,0.0,0.041666666666666664
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.05,0.0,0.0,0.38636363636363635,0.09090909090909091,0.07407407407407407,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.10714285714285714,0.05263157894736842,0.0,0.06382978723404255,0.0,0.0,0.0
13,0.05,0.047619047619047616,0.0,0.0,0.0,0.12121212121212122,0.023255813953488372,0.03571428571428571,0.0,0.05555555555555555,0.02127659574468085,0.0,0.0,0.047619047619047616
